FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
 	332	org.gjt.sp.jedit.browser.BrowserView.propertiesChanged()	5	
 	341	org.gjt.sp.jedit.browser.BrowserView.TableMouseHandler.mouseClicked(MouseEvent)		
 	3710	org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)	23	
 	4620	org.gjt.sp.jedit.gui.RegisterViewer.RegisterViewer(View,String)		
 	4622	org.gjt.sp.jedit.gui.RegisterViewer.handleMessage(EBMessage)		
 	4627	org.gjt.sp.jedit.gui.RegisterViewer.refreshList()		
 	2212	org.gjt.sp.jedit.help.HelpViewer.HelpViewer(String)		
 	2217	org.gjt.sp.jedit.help.HelpViewer.handleMessage(EBMessage)		
 	189	org.gjt.sp.jedit.options.AppearanceOptionPane._init()	64	
 	190	org.gjt.sp.jedit.options.AppearanceOptionPane._save()	90	
 	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)		
 	2460	org.gjt.sp.jedit.pluginmgr.InstallPanel.formatSize(int)		
1641997	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	18	18
1642574	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	109	10
 	6065	org.gjt.sp.jedit.options.ViewOptionPane._init()	10	
 	6066	org.gjt.sp.jedit.options.ViewOptionPane._save()	23	
